providerNum,productRef,productDesignation,productPrice,productProReduc,productCltReduc,productQty,productAlert,productDescription
11,HUT1200K6,Courroie Trapezoidale A Nervures DaciaRenaultNissan,70.02,0.0,0,10,2,Courroie Trapezoidale A Nervures DaciaRenaultNissan
11,HUT1320K6,Courroie Trapezoidale A Nervures Fiat 500XQuboTipo,91.67,0.0,0,10,2,Courroie Trapezoidale A Nervures Fiat 500XQuboTipo
11,HUT1400K6,Courroie Trapezoidale A Nervures RKangoo 15 DCI,82.4,0.0,0,10,2,Courroie Trapezoidale A Nervures RKangoo 15 DCI
11,HUT1440K6,Courroie Trapezoidale A Nervures PartnerBerlingo 19D,85.43,0.0,0,10,2,Courroie Trapezoidale A Nervures PartnerBerlingo 19D
11,HUT1460k6,Courroie Trapezoidale A Nervures Ford TransitLand Rover,96.01,0.0,0,10,2,Courroie Trapezoidale A Nervures Ford TransitLand Rover
11,HUT1468k6,Courroie Trapezoidale A Nervures Citroen Peugeot 20Hdi,100.32,0.0,0,10,2,Courroie Trapezoidale A Nervures Citroen Peugeot 20Hdi
11,HUT1515K6,Courroie Trapezoidale A Nervures HyundaiKIA,97.52,0.0,0,10,2,Courroie Trapezoidale A Nervures HyundaiKIA
11,HUT1520K6,Courroie Trapezoidale A Nervures SkodaVwFord,107.35,0.0,0,10,2,Courroie Trapezoidale A Nervures SkodaVwFord
11,HUT1658K6,Courroie Trapezoidale A Nervures VwAudiSkoda Seat 19D,112.13,0.0,0,10,2,Courroie Trapezoidale A Nervures VwAudiSkoda Seat 19D
11,HUT1682K6,Courroie Trapezoidale A Nervures Ford FiestaMondeo,107.51,0.0,0,10,2,Courroie Trapezoidale A Nervures Ford FiestaMondeo
11,HUT1705K6,Courroie Trapezoidale A Nervures Citroen Peugeot 14Hdi,106.81,0.0,0,10,2,Courroie Trapezoidale A Nervures Citroen Peugeot 14Hdi
11,HUT1725K6,Courroie Trapezoidale A Nervures Citroen OpelFiat,104.33,0.0,0,10,2,Courroie Trapezoidale A Nervures Citroen OpelFiat
11,HUT1740K6,Courroie Trapezoidale A Nervures Citroen Peugeot 18D20Hdi,107.35,0.0,0,10,2,Courroie Trapezoidale A Nervures Citroen Peugeot 18D20Hdi
11,HUT1750K6,Courroie Trapezoidale A Nervures Citroen Peugeot 19D20Hdi,109.62,0.0,0,10,2,Courroie Trapezoidale A Nervures Citroen Peugeot 19D20Hdi
11,HUT1815K5,Courroie Trapezoidale A Nervures Bmw 520525 Tds,104.33,0.0,0,10,2,Courroie Trapezoidale A Nervures Bmw 520525 Tds
11,HUT2002K6,Courroie Trapezoidale A Nervures Mercedes 207307,135.77,0.0,0,10,2,Courroie Trapezoidale A Nervures Mercedes 207307
11,HUT2215k6,Courroie Trapezoidale A Nervures Mercedes Sprinter M906W204,120.96,0.0,0,10,2,Courroie Trapezoidale A Nervures Mercedes Sprinter M906W204
11,HUT2260K6,Courroie Trapezoidale A Nervures Mercedes Sprinter M902903904,117.18,0.0,0,10,2,Courroie Trapezoidale A Nervures Mercedes Sprinter M902903904
11,HUT673K4,Courroie Trapezoidale A Nervures KiaHyundai,37.04,0.0,0,10,2,Courroie Trapezoidale A Nervures KiaHyundai
11,HUT715K3,Courroie Trapezoidale A Nervures Renault Laguna Megane II,29.48,0.0,0,10,2,Courroie Trapezoidale A Nervures Renault Laguna Megane II
11,HUT750k3,Courroie Trapezoidale A Nervures DaciaRenault Ess,30.24,0.0,0,10,2,Courroie Trapezoidale A Nervures DaciaRenault Ess
